DFS ID,Name,Pos,Order,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,1B,2B,3B,HR,SB,CS,R,RBI,K,BB,PA,H,ER,IP,W,QS,CG,CGSO,Pitches
42644375,Kyle Bradish,P,,BAL,ARI,,8300,0,14.37,,14.37,1.7313253012048193,50.7,54.49560412562995,0,100,4.8516,9.2864,14.3725,7.2,14.25,21.7,25.3,30.75,36.2005,26.39,16,26,37,42,51,58,16.2783,8.6,16,24.5,28.5,34.5,40.301,22.2675,12,22,32.5,37.5,45.5,52.5,10.0902,14.5554,11.2235,14.2401,3.06656,0.93844,0.06924,0.56408,0,0,2.43756,0,4.9738,2.06064,22.0127,4.638319999999999,2.25204,5.23179,0.29212,0.19416,0.002,0.0012,85.4812
42644376,Connelly Early,P,,BOS,MIN,Confirmed,8000,0,13.34,,13.34,1.6675,40.1,41.488034450031115,0,100,4.5596,8.5848,13.3429,6.5,13.55,20.7625,24,29.15,34.45,24.8034,15,24,35,40,48,56,15.0954,7.6,15.4,23.4,26.8,32.5,38.4,20.8192,11,21,31,36,43,50.5,9.88688,14.1265,10.9943,13.9562,2.95495,1.0313,0.08425,0.6309,0,0,2.52495,0,4.7561,2.0673,21.5487,4.7014,2.32935,5.05263,0.29395,0.1504,0.0019,0.00055,85.1973
42644379,Dustin May,P,,STL,CLE,Confirmed,6300,0,12.19,,12.19,1.934920634920635,18.09,16.080769952442942,0,100,4.4276,8.979199999999999,12.1945,5.35,12.175,19.3,22.9,28.3,33.851,24.2359,14,24,35,40,49,55,14.0505,6.5,13.9,21.8,25.9,31.8,37.6,19.2566,9.5,19,29.5,34.5,42,49.5,9.95853,14.4777,11.0948,13.9558,3.34332,1.12904,0.06692,0.65604,0,0,2.86872,0,4.14504,2.59208,24.217,5.19532,2.64996,5.63296,0.29252,0.27416,0.009,0.00368,90.4871
42644377,Eduardo Rodriguez,P,,ARI,BAL,,7800,0,12.07,,12.07,1.5474358974358975,31.44,31.112348612589727,0,100,4.4348,9.2864,12.067,4.7,12.1,19.65,23.15,28.95,34.75,24.1184,13,24,35,40,49,58,13.5837,5.2,13.7,22,25.9,32.4,38.5,19.3177,9,19.5,30,35,43,51.5,10.4454,15.0081,11.6412,14.6989,3.9302,1.28212,0.00184,0.40264,0,0,3.00712,0,4.80368,2.39292,23.2889,5.6168,2.78308,5.24603,0.25328,0.19972,0.005,0.001,88.3876
42644374,Slade Cecconi,P,,CLE,STL,Confirmed,8500,0,11.65,,11.65,1.3705882352941177,35.18,35.630557982376715,0,100,4.5516,8.979199999999999,11.6497,4.75,11.65,18.6,22.1575,27.85,33.201,23.1613,13,23,33,39,48,55,13.3046,5.8,13.5,20.9,25.2,31.5,37.5,18.5249,8.5,18.5,28.5,33.5,41.5,49,10.0853,14.5474,11.2367,14.1898,3.5442,1.20404,0.0546,0.61008,0,0,2.93808,0,4.30744,2.22912,23.0697,5.41292,2.71612,5.28729,0.28448,0.20464,0.0058,0.00108,89.6557
42644378,Simeon Woods Richardson,P,,MIN,BOS,Confirmed,7300,0,11.5,,11.5,1.5753424657534247,22.81,21.200172599723473,0,100,4.0252,8.5848,11.5025,4.95,11.6,18.25,21.65,27.1,32.5005,22.0073,12,21,31,37,45,53,13.2588,5.9,13.55,20.7,24.6,30.5,36.401,18.048,8.5,18,27.5,32.5,40,47.505,9.5348,13.5586,10.6607,13.4074,3.189,1.0685,0.155,0.5286,0,0,2.63555,0,4.07855,1.77785,21.456,4.9411000000000005,2.43305,5.03583,0.22685,0.15055,0.00115,0.0008,83.3785
42644381,Jose Ramirez,3B,3,CLE,STL,Confirmed,5700,0,9.66,,9.66,1.694736842105263,41.97,52.928572110490514,0,100,4.5516,8.979199999999999,9.65748,3,8,14,18,26,35,12.6997,3,9.2,18.7,24.7,34.6,47.4,9.5263,2.6,7.1,14.2,18.4,25.5,34.8,10.3744,3,8,15.5,20.5,29.5,41,8.32583,11.1924,8.17242,9.75829,0.64752,0.244,0.0148,0.16664,0.23196,0.03576,0.58076,0.6538,0.52252,0.5406,4.55672,1.0729600000000001,0,0,0,0,0,0,0
42644384,Ketel Marte,2B,1,ARI,BAL,DTD,5000,0,9.52,,9.52,1.904,33.51,42.07023792826426,0,100,4.4348,9.2864,9.5172,3,7,14,18,25,35,12.5557,3,9.2,18.7,24.9,34.2,47.103,9.51153,2.6,7.1,14.2,18.7,25.1,35.2,10.1985,2.5,7.5,16,21,29,41.505,8.26987,11.1637,8.22483,9.93123,0.68892,0.20224,0.01852,0.21148,0.08708,0.0152,0.69508,0.5964,0.913,0.57896,4.71356,1.12116,0,0,0,0,0,0,0
42644380,Corbin Carroll,OF,2,ARI,BAL,,6000,0,9.47,,9.47,1.5783333333333336,41.88,52.80554272697747,0,100,4.4348,9.2864,9.47044,3,7,15,19,27,35.01,12.4799,3,9.2,18.7,25.2,34.9,47.905,9.37387,2.6,7.1,14.2,18.7,25.8,35.5,9.9027,2,7,16,21.5,30,42.5,8.6865,11.682,8.57083,10.316,0.56084,0.1724,0.04752,0.2056,0.19832,0.03192,0.63568,0.60752,1.15228,0.50588,4.59224,0.98636,0,0,0,0,0,0,0
42644388,Pete Alonso,1B,3,BAL,ARI,,4600,0,9.08,,9.08,1.9739130434782608,33.23,37.711667409842285,0,100,4.8516,9.2864,9.07552,3,7,14,18,25,35,12.1187,3,9.2,18.7,24.9,34.105,47.4,9.09446,2.6,7.1,14.2,18.4,24.6,34.8,9.88758,2.5,7,15.5,21,29,42.005,8.17917,11.1875,8.15658,10.0024,0.6132,0.2136,0.00004,0.2134,0.062,0.0086,0.62088,0.7096,0.93476,0.53132,4.407,1.04024,0,0,0,0,0,0,0
