DFS ID,Name,Pos,Order,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,1B,2B,3B,HR,SB,CS,R,RBI,K,BB,PA,H,ER,IP,W,QS,CG,CGSO,Pitches
42658767,Kris Bubic,P,,KC,DET,,9000,0,18.8,,18.8,2.088888888888889,0,,0,100,4.0478,7.411999999999999,18.8001,11.75,18.9,26.2,29.55,34.905,40.2515,33.2247,23,33,44,49,58,65,20.9072,13,20.9,29.2,32.7,38.6,44.401,28.7917,19,29,39.5,44,51.5,59.005,10.1743,14.9393,11.2507,14.3918,2.97692,0.87012,0.1856,0.48108,0,0,2.13532,0,6.442,2.23788,23.0062,4.51372,1.96956,5.54333,0.3522,0.26604,0.00748,0.00232,90.2934
42658766,Max Fried,P,,NYY,LAA,,9500,0,17.3,,17.3,1.8210526315789475,0,,0,100,4.6998,8.8414,17.2986,10.1875,17.5,24.5,28.05,33.6,39.35,31.4502,21,31,42,48,55,64,19.5122,11.8,19.8,27.6,31.6,37.5,43.4,26.5648,16.5,27,37,42,49.5,57.5,10.217,15.1032,11.305,14.4089,3.2772,0.8642,0.07324,0.71412,0,0,2.45744,0,5.747,2.19,24.2087,4.9287600000000005,2.26928,5.84388,0.358,0.33436,0.00912,0.0038,97.4893
42658769,Steven Matz,P,,TB,CWS,,8500,0,13.2,,13.2,1.552941176470588,0,,0,100,4.4392,8.265799999999999,13.2036,6.8,13.2,19.9125,23.3,28.25,33.55,24.8894,15,24,35,39,48,55,15.0158,7.9,14.9,22.6,26.4,31.6,37.5,20.6275,11.5,20.5,30,35,42,49.5,9.43257,13.6559,10.5207,13.3,3.749,1.06916,0.07592,0.26612,0,0,2.26668,0,4.28148,1.8216,22.1957,5.160200000000001,2.08952,5.22224,0.3122,0.1934,0.00292,0.00088,85.9441
42658770,Landen Roupp,P,,SF,CIN,,8000,0,12.95,,12.95,1.61875,0,,0,100,4.085,8.118,12.9509,6.5,13.05,19.6,23.0075,28.3525,33.8015,24.6049,15,24,34,39,48,56,14.7815,7.6,14.8,22.4,26.015,31.605,37.6,20.2486,11,20.5,30,34.5,42,49.5,9.51254,13.8207,10.6051,13.4098,3.536,1.01076,0.10024,0.45888,0,0,2.4298,0,4.3298,1.95244,22.445,5.10588,2.24332,5.28417,0.27712,0.20756,0.00484,0.00104,87.5476
42658776,Patrick Corbin,P,,TOR,MIL,,6300,0,12.79,,12.79,2.03015873015873,0,,0,100,4.051,7.729,12.7945,6.35,12.7,19.55,22.75,27.9,33.0005,24.282,15,24,34,39,47,55,14.6444,7.5,14.7,22.4,25.6,31.5,37.201,19.9818,11,20,29.5,34,41.5,49,9.37476,13.5816,10.4664,13.1961,3.72232,0.86644,0.01496,0.49928,0,0,2.38256,0,4.14308,1.85496,22.2697,5.103,2.19564,5.26885,0.30128,0.20636,0.00436,0.0014,87.1916
42658774,Brandon Sproat,P,,MIL,TOR,,7000,0,12.26,,12.26,1.7514285714285713,0,,0,100,3.678,7.729,12.2616,6.1,12.25,18.55,21.85,27.1,32.4505,22.645,14,22,31,36,44,52,13.9305,6.9,13.8,21.3,24.5,30.5,36.4,19.1278,10.5,19,28,33,40,47.5,9.11349,12.8183,10.1728,12.8521,2.83612,0.8768,0.07372,0.61768,0,0,2.3104,0,4.42764,1.8806,20.1387,4.40432,2.1314,4.74027,0.1934,0.09376,0.00024,0.00012,77.0339
42658768,Chase Burns,P,,CIN,SF,,8700,0,12.17,,12.17,1.3988505747126436,0,,0,100,4.033,8.118,12.1708,6.1,12.25,18.5,21.8,26.95,32.3505,22.96,14,23,32,36,45,53,13.8549,6.9,13.8,20.8,24.6,30.5,36.3,19.083,10.5,19,28,33,40,47.5,9.14244,13.0223,10.2266,12.882,3.13564,0.94352,0.0534,0.44032,0,0,2.24228,0,4.17496,2.11836,21.0268,4.57288,2.07176,4.92529,0.22368,0.13312,0.00064,0.00036,81.0252
42658775,Foster Griffin,P,,WSH,PIT,,6800,0,11.27,,11.27,1.6573529411764705,0,,0,100,4.7712,9.418800000000001,11.2735,4.85,11.2,17.9,21.3,26.6025,31.9005,21.9028,12,21,31,36,45,53,12.7667,5.7,12.7,20.4,23.8,29.7,35.501,17.9263,8.5,17.5,27,32,39.5,47.5,9.44085,13.3779,10.5307,13.3205,3.12476,1.1216,0.02492,0.52016,0,0,2.57484,0,4.22568,2.2744,21.1033,4.79144,2.37588,4.82003,0.24156,0.111,0.00072,0.00012,82.1744
42658773,Anthony Kay,P,,CWS,TB,,7300,0,10.77,,10.77,1.4753424657534246,0,,0,100,3.8266,8.265799999999999,10.7724,4.4,10.8,17.45,20.85,26.4,32.05,21.9412,13,21,31,36,45,53,11.9986,4.9,11.9,19.6,23.4,29.5,35.5,17.5196,8.5,17.5,27,32,39.5,47,9.5541,13.5464,10.6753,13.4675,3.13024,1.0498,0.03684,0.17484,0,0,2.4712,0,4.2596,3.51924,21.7755,4.391719999999999,2.28084,4.80244,0.1884,0.1168,0.00052,0.00036,87.5494
42658778,Aaron Judge,OF,2,NYY,LAA,,6500,0,10.05,,10.05,1.5461538461538462,0,,0,100,4.6998,8.8414,10.0504,4,7,16,19,26,36,13.5731,6,9.4,21.7,25.2,35.21,49.402,10.3107,4.5,7.8,16.1,19.4,26.5,36.2,10.8227,3,7.5,17,22,31,43,8.52543,11.6303,8.55724,10.4176,0.49752,0.16376,0.00576,0.2814,0.07844,0.01124,0.7434,0.63968,1.0202,0.86032,4.41468,0.94844,0,0,0,0,0,0,0
