DFS ID,Name,Pos,Order,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,1B,2B,3B,HR,SB,CS,R,RBI,K,BB,PA,H,ER,IP,W,QS,CG,CGSO,Pitches
42658766,Max Fried,P,,NYY,LAA,,9500,0,19.54,,19.54,2.056842105263158,50.31,55.39101414082343,0,100,5.7484,9.6734,19.5418,12.25,20.25,27.1,30.35,35.6,41.1,34.5293,23,36,46,51,58,66,21.9616,13.9,22.7,30.4,34.2,39.5,45.4,29.7059,19.5,30.5,40.5,45,52,60,10.4049,15.4357,11.4884,14.6964,3.21056,0.91236,0.07,0.61892,0,0,2.27132,0,6.25196,1.84536,24.0953,4.81184,2.09796,5.93951,0.45664,0.37724,0.01004,0.00472,96.6414
42658767,Kris Bubic,P,,KC,DET,,9000,0,17.34,,17.34,1.9266666666666665,46.33,51.82930571895531,0,100,4.4462,8.3506,17.3413,10.45,17.4,24.4,27.9,33.6525,39.5005,31.2209,21,31,42,47,55,64,19.2797,11.7,19.6,26.825,30.7,37.4,43.5,26.7711,17,27,36.5,42,50,58,10.0328,14.7071,11.0985,14.2055,3.08972,0.92336,0.19376,0.55564,0,0,2.48096,0,6.32808,2.29756,23.0127,4.76248,2.2926,5.43539,0.31416,0.23084,0.00668,0.0012,90.2778
42658769,Steven Matz,P,,TB,CWS,,8500,0,14.34,,14.34,1.6870588235294117,33.09,36.95538240474679,0,100,4.4166,8.3932,14.3426,7.35,14.4,21.3,24.65,29.8525,35.6,26.4352,16,26,36,42,50,58,16.3179,8.6,16.5,24.4,27.6,33.5,39.5,22.1856,12,22.5,32,36.5,44,52,9.71776,14.0678,10.823,13.6793,3.57404,1.10044,0.08736,0.389,0,0,2.41576,0,4.75792,1.60848,22.4715,5.1508400000000005,2.23512,5.36076,0.31836,0.2186,0.00524,0.00148,86.8756
42658770,Landen Roupp,P,,SF,CIN,,8000,0,12.3,,12.3,1.5375,16.11,16.011766920679634,0,100,4.3242,8.5506,12.3019,5.9,12.25,18.8,22.3075,27.4,32.4,23.6364,14,24,33,38,46,54,14.0565,6.9,14,21.5,25.3,30.605,36.301,19.3315,10.5,19.5,28.5,33.5,40.5,47.505,9.24737,13.4157,10.3158,13.037,3.56,1.03276,0.10432,0.47784,0,0,2.54336,0,4.26632,1.9428,22.281,5.17492,2.34716,5.20411,0.25296,0.1872,0.00424,0.00092,86.742
42658768,Chase Burns,P,,CIN,SF,,8700,0,12.18,,12.18,1.4,16.3,16.231555651350334,0,100,4.2264,8.5506,12.1795,5.55,12.25,19.05,22.5,27.6,32.9515,23.1751,14,23,33,39,46,54,13.8405,6.5,13.8,21.6,25.5,30.815,37.1,19.1534,9.5,19,29,33.5,41,48.5,9.59222,13.6867,10.7089,13.5191,3.1686,0.95544,0.05188,0.475,0,0,2.37416,0,4.25464,2.23004,21.3692,4.650919999999999,2.18592,4.97187,0.24508,0.14572,0.0008,0.00056,82.635
42658774,Brandon Sproat,P,,MIL,TOR,,7000,0,12.12,,12.12,1.7314285714285713,14.52,14.147255012205505,0,100,4.3234,8.6486,12.1245,5.55,12.05,18.8,22.4,27.8525,33.25,22.6908,13,22,32,37,46,54,13.7536,6.6,13.7,21.325,25.4,31.3,37.4,19.0021,9.5,18.5,28.5,33.5,41.5,49,9.61794,13.5798,10.7237,13.5691,2.93904,0.91816,0.07508,0.66248,0,0,2.49724,0,4.4694,1.93636,20.5238,4.594759999999999,2.31024,4.78699,0.23808,0.10596,0.0004,0.00024,78.545
42658778,Aaron Judge,OF,3,NYY,LAA,,6500,0,11.23,,11.23,1.7276923076923076,34.24,47.70746672331279,0,100,5.7484,9.6734,11.2334,4,9,17,21,28,38,15.3379,6,12.2,22.2,28.2,38.4,53.4,11.5751,4.5,9.4,16.8,21.3,28.4,38.6,12.2966,4,9,19.5,24.5,33.5,46,9.0066,12.3776,9.03847,11.1016,0.50524,0.16584,0.00984,0.31548,0.07164,0.01016,0.801,0.8352,0.99384,1.0122,4.42332,0.9964,0,0,0,0,0,0,0
42658776,Patrick Corbin,P,,TOR,MIL,,6300,0,11.14,,11.14,1.7682539682539684,6.28,5.194162151434756,0,100,4.3252,8.6486,11.1444,4.9375,11.05,17.65,20.9575,26.3,31.9505,21.961,12,21,31,36,45,52.01,12.7925,5.8,12.7,19.8,23.7,29.6,35.601,17.6877,9,17.5,27,31.5,39,47,9.21623,13.2397,10.294,12.9786,3.84764,0.924,0.0162,0.5684,0,0,2.75264,0,4.03516,1.8964,22.128,5.3562400000000014,2.54036,5.11136,0.24904,0.16208,0.00336,0.00044,86.6408
42658773,Anthony Kay,P,,CWS,TB,,7300,0,10.44,,10.44,1.4301369863013698,5.97,4.922999435577386,0,100,3.9766,8.3932,10.435,4.85,10.75,16.55,19.45,23.7,28.2,18.715,11,19,27,30,36,43,11.9553,5.7,12.4,18.6,22.2,27.2,32.1,16.1666,8.5,16.5,24.5,28.5,34.5,41.5,8.38721,10.9675,9.41162,11.6999,2.30068,0.76088,0.0702,0.52676,0,0,1.96948,0,3.41708,1.43832,16.985,3.6585199999999998,1.8242,4.06579,0.28984,0,0,0,64.8348
42658775,Foster Griffin,P,,WSH,PIT,,6800,0,10.41,,10.41,1.5308823529411764,4.26,3.210087074939401,0,100,4.3276,9.331199999999999,10.4139,4.2,10.2,16.85,20.3575,25.7525,31.4,20.748,12,20,30,35,44,52,11.8199,4.8,11.7,18.9,22.8,28.7,35.4,16.7227,8,16.5,25.625,30.5,38.5,46.5,9.34934,13.1822,10.4434,13.1675,3.19592,1.1588,0.02648,0.54792,0,0,2.7642,0,4.18588,2.31196,21.1613,4.929120000000001,2.5518,4.77516,0.1858,0.10136,0.001,0.00024,82.481
42658772,Keider Montero,P,,DET,KC,,7500,0,9.93,,9.93,1.3239999999999998,3.72,2.695102755717233,0,100,3.9044,8.3506,9.92542,3.7,9.65,16.35,19.75,25.1,30.101,19.369,10,18,28,33,42,49,11.6436,4.7,11.5,18.7,22.5,28.5,34.3,15.6362,7,15,24.5,29.5,37,44,9.1424,12.9367,10.2509,12.8373,3.22888,0.86664,0.2076,0.60936,0,0,2.55188,0,3.31956,1.54356,20.7114,4.91248,2.3558,4.87928,0.22216,0.12672,0.00108,0.00072,77.4454
42658786,Ben Rice,1B,2,NYY,LAA,,5300,0,9.41,,9.41,1.7754716981132075,27.06,35.562767673058275,0,100,5.7484,9.6734,9.4132,3,7,14,18,25,34,12.6656,3.2,9.2,18.7,24.9,34.4,46.9,9.46702,2.6,7.1,14.2,18.7,25.1,34.1,10.214,3,7.5,16,21,29,41,8.05621,10.97,8.0289,9.74684,0.55424,0.19848,0.02252,0.2074,0.08024,0.01276,0.78644,0.65536,0.79476,0.60956,4.498,0.98264,0,0,0,0,0,0,0
42658783,James Wood,OF,1,WSH,PIT,,5600,0,9.37,,9.37,1.6732142857142855,17.29,20.97187120205831,0,100,4.3276,9.331199999999999,9.37148,3,7,14,18,25,34.01,12.4645,3,9.2,18.7,24.6,33.71,47.102,9.49198,2.6,7.1,14.2,18,24.8,34.8,9.83826,2.5,7,15,20,28,41.005,8.05963,10.9094,8.0433,9.6455,0.59132,0.22304,0.00004,0.19984,0.11848,0.01988,0.64624,0.55388,1.143,0.74548,4.76968,1.01424,0,0,0,0,0,0,0
