DFS ID,Name,Pos,Order,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,1B,2B,3B,HR,SB,CS,R,RBI,K,BB,PA,H,ER,IP,W,QS,CG,CGSO,Pitches
42659309,Luis Castillo,P,,SEA,SD,,8500,0,13.4,,13.4,1.5764705882352943,74.76,99.12557621105591,0,100,4.5344,8.761,13.4011,6.65,13.55,20.7,24.15,29.35,35,25.199,15,25,36,41,49,57,15.2591,7.7,15.6,23.5,27.315,32.7,39.3,20.8905,11,21,31,36,43,51.5,9.96423,14.3656,11.0959,14.0326,3.53888,1.1784,0.0656,0.58368,0,0,2.6322,0,4.64812,1.62136,22.4602,5.36656,2.436,5.29444,0.31016,0.2046,0.00532,0.00128,89.195
42659311,Walker Buehler,P,,SD,SEA,,7500,0,10.91,,10.91,1.4546666666666666,49.41,63.164434726957445,0,100,4.2266,8.761,10.911,4.55,10.85,17.7,21.15,26.25,31.751,21.2822,12,21,30,36,44,52,12.5338,5.6,12.6,20.3,23.8,29.5,35.5,17.2748,8,17,27,31.5,39,46.5,9.48966,13.4982,10.6158,13.3578,3.06724,0.9716,0.0528,0.62692,0,0,2.5668,0,3.88968,2.18648,21.2645,4.718560000000001,2.37032,4.93131,0.22892,0.13916,0.00108,0.0006,82.5894
42659313,Yordan Alvarez,OF,2,HOU,COL,,6000,0,10.11,,10.11,1.6849999999999998,55.34,66.77279246903814,0,100,5.2992,9.2414,10.108,4,8,16,19,27,35,13.4899,6,9.5,21.4,25.2,35.2,47.401,10.1668,4.5,7.8,15.4,18.7,26.5,35.5,11.0959,3.5,8,17,22,31,42.505,8.41049,11.4547,8.39547,10.1975,0.648067,0.2334,0.00786667,0.237,0.0752,0.00933333,0.765533,0.688867,0.663333,0.639533,4.5198,1.12633367,0,0,0,0,0,0,0
42659432,Ryan Weiss,P,,HOU,COL,,6000,0,9.9,,9.9,1.65,32.76,37.787282681638985,0,100,5.2992,9.2414,9.89924,4.8,10,15.05,18.1,23.2525,28.1505,17.8647,11,18,25,29,36,43,11.2618,5.5,11.5,17.2,20.4,26.2,31.3,15.3925,8,15.5,22.5,27,34,41,7.92489,10.6813,8.869,11.1457,2.14213,0.7266,0.0576667,0.475,0,0,1.79067,0,3.63487,1.4982,15.9625,3.4013967,1.6526,3.77662,0.0942667,0.0056,0,0,62.6669
42659317,Cal Raleigh,C,2,SEA,SD,,4800,0,9.31,,9.31,1.9395833333333334,45.21,51.65871361535899,0,100,4.5344,8.761,9.3084,3,7,14,19,26,36,12.4818,3,9.2,18.7,25.2,35.2,49.402,9.41653,2.6,7.1,14.2,18.7,25.8,36,9.90868,2,6.5,16,21.5,30.5,42.5,8.61045,11.7196,8.59757,10.4199,0.5046,0.17004,0.01524,0.23884,0.10576,0.01836,0.64424,0.64648,1.17008,0.66192,4.66132,0.92872,0,0,0,0,0,0,0
42659434,Chase Dollander,P,,COL,HOU,,5800,0,9.02,,9.02,1.5551724137931033,24.57,27.2195394007645,0,100,3.9422,9.2414,9.02049,3.8,9.35,14.7,17.35,21.4025,26.05,16.8923,10,17,24,28,34,39,10.1828,4.5,10.5,16.4,19.4,24.1,29.101,14.2638,7,14.5,22,26,32,38,7.98744,10.4436,8.87829,11.1686,2.31673,0.7746,0.0667333,0.537867,0,0,2.1248,0,3.4292,1.561,15.9363,3.6959303,1.96153,3.65256,0.255267,0,0,0,64.3749
42659316,Jose Altuve,2B,1,HOU,COL,,4900,0,8.97,,8.97,1.8306122448979592,39.87,45.850417820499345,0,100,5.2992,9.2414,8.97147,3,7,14,17,24,33,11.759,3,9.2,18.2,22.2,31.9,44.4,8.85269,2.6,7.1,13.5,16.8,23.615,32.9,9.47673,2.5,7,14,19.5,28,39,7.84209,10.5349,7.72437,9.27106,0.719533,0.221467,0.00706667,0.158067,0.132333,0.0183333,0.674067,0.5448,0.867067,0.484467,4.6146,1.10613367,0,0,0,0,0,0,0
42659314,Fernando Tatis Jr.,2B/OF,2,SD,SEA,,5000,0,8.84,,8.84,1.768,43.7,50.97130410919259,0,100,4.2266,8.761,8.84488,3,7,14,17,24,33.01,11.5301,3,9.2,18.2,22.2,31.7,44.4,8.65514,2.6,7.1,13.2,16.8,23.6,32.9,9.28006,2,7,14,19.5,27.5,39.5,7.968,10.6761,7.83151,9.41217,0.65828,0.23196,0.00136,0.17072,0.18752,0.01864,0.60296,0.55016,0.96716,0.37416,4.40552,1.06232,0,0,0,0,0,0,0
42659318,Christian Walker,1B,4,HOU,COL,,4700,0,8.43,,8.43,1.7936170212765956,41.09,47.752962950380514,0,100,5.2992,9.2414,8.431,2,6,13,17,24,33,11.2661,3,9,18,22.2,31.9,44.702,8.40183,2.6,6.4,12.8,16.8,23.2,32.905,9.15213,2,6,14,20,28,40,7.97305,10.9046,7.93497,9.75196,0.565467,0.207533,0.0082,0.189467,0.0616,0.00766667,0.5898,0.693,0.994533,0.431533,4.3116,0.970667,0,0,0,0,0,0,0
42659325,Isaac Paredes,2B/3B,3,HOU,COL,,4300,0,8.28,,8.28,1.925581395348837,40.79,45.95100267814139,0,100,5.2992,9.2414,8.28173,3,6,12,16,23,33,11.0301,3,9,15.7,22,31.4,44.4,8.3004,2.6,6.4,12,16.1,22.9,32.9,8.95607,2,6,13.5,19,27,39.5,7.56849,10.3072,7.53814,9.19453,0.599533,0.201133,0.0286,0.154333,0.0446667,0.00686667,0.601533,0.607933,0.840933,0.531533,4.4196,0.9835989999999999,0,0,0,0,0,0,0
42659337,Josh Naylor,1B,4,SEA,SD,,3600,0,8.06,,8.06,2.2388888888888894,26.84,28.197143827949013,0,100,4.5344,8.761,8.0626,2,6,12,16,23,32,10.5558,3,6.5,15.4,21.7,31.2,43.603,7.93495,2.6,5.2,11.6,15.8,22.9,32.2,8.69704,2,6,12,17.5,26.525,37.505,7.54305,10.1619,7.42095,8.95643,0.68096,0.21252,0.00236,0.136,0.11608,0.01512,0.50084,0.58228,0.60704,0.4158,4.43408,1.03184,0,0,0,0,0,0,0
42659329,Ramon Laureano,OF,1,SD,SEA,,4100,0,8.05,,8.05,1.9634146341463414,27.27,28.614670261735014,0,100,4.2266,8.761,8.04856,2,6,12,16,23,32,10.4831,3,9,15.7,21.7,30.9,41.9,7.89814,2.6,6.1,11.6,16.1,22.5,31,8.26856,1.5,5.5,12.5,18,26,37,7.62366,10.2065,7.50868,9.05421,0.61348,0.20048,0.0238,0.15104,0.13572,0.02156,0.56444,0.49284,1.28384,0.35588,4.50644,0.9888000000000001,0,0,0,0,0,0,0
42659327,Randy Arozarena,OF,5,SEA,SD,,4300,0,7.98,,7.98,1.8558139534883722,28.08,29.66744037203171,0,100,4.5344,8.761,7.97808,2,6,12,16,22,30,10.5497,3,9,15.4,21.2,28.7,40.9,7.93766,2.6,6.6,11.6,15.8,21.3,30.3,8.1176,2,6,12,16.5,25,35,7.21415,9.69866,7.08991,8.40434,0.5616,0.17588,0.002,0.11508,0.205,0.02868,0.50628,0.4926,1.05488,0.61216,4.34652,0.85456,0,0,0,0,0,0,0
42659341,Mickey Moniak,OF,2,COL,HOU,,3400,0,7.95,,7.95,2.338235294117647,19.53,18.950709974591867,0,100,3.9422,9.2414,7.9466,2,6,12,16,23,32,10.3775,3,6.5,15.5,21.7,31.2,43.6,7.83703,2.6,5.2,11.6,16.1,23.2,31.903,8.2596,1.5,5.5,12.5,18,26.5,37,7.64909,10.2517,7.54834,9.07631,0.575667,0.1986,0.0254,0.1516,0.134867,0.021,0.531733,0.492,1.10067,0.3928,4.48873,0.9512670000000001,0,0,0,0,0,0,0
42659319,Carlos Correa,3B/SS,5,HOU,COL,,4600,0,7.82,,7.82,1.7000000000000002,50.38,57.2958162893406,0,100,5.2992,9.2414,7.82107,3,6,11,15,22,30,10.3781,3,9,15.4,21.6,28.71,41.202,7.79631,2.6,6.4,11.6,15.4,21.3,30.3,8.4317,2,6,12,17.5,25.525,36.5,7.035,9.59284,6.99895,8.57258,0.639733,0.2076,0.00946667,0.136,0.0364,0.00473333,0.561267,0.592467,0.859533,0.469333,4.1996,0.99279967,0,0,0,0,0,0,0
42659330,Brendan Donovan,3B,1,SEA,SD,,4100,0,7.71,,7.71,1.8804878048780487,27.07,27.33640613500901,0,100,4.5344,8.761,7.70916,3,7,11,14,20,28,9.97544,3,9,15.2,18.7,27.41,37.702,7.61378,2.6,6.8,10.9,14.2,19.9,27.803,8.12826,2.5,6,12,15.5,23,33,6.56393,8.72535,6.44939,7.61717,0.75972,0.22756,0.04,0.06352,0.07628,0.0108,0.56052,0.411,0.59884,0.50628,4.73988,1.0908,0,0,0,0,0,0,0
42659322,Julio Rodriguez,OF,3,SEA,SD,,4500,0,7.66,,7.66,1.702222222222222,28.4,30.06940023229007,0,100,4.5344,8.761,7.66468,2,5,11,15,22,30,9.93785,3,6.5,15,19.2,28.71,40.9,7.46897,2.6,5.2,10.9,14.2,21.3,29.601,7.92976,2,5.5,11.5,16.5,25.5,35,7.19698,9.59311,7.01152,8.39546,0.69932,0.1896,0.00864,0.10436,0.15584,0.01972,0.47984,0.502,0.93664,0.38156,4.5478,1.00192,0,0,0,0,0,0,0
42659323,Jackson Merrill,OF,3,SD,SEA,,4400,0,7.65,,7.65,1.7386363636363635,27.23,28.421264713641666,0,100,4.2266,8.761,7.65148,3,6,11,15,21,29,9.93346,3,6.5,15.2,19,28.21,40.4,7.49686,2.6,5.2,11.3,14.2,21.3,29.105,8.12378,2,6,12,17,25,35,6.91472,9.25661,6.79931,8.23884,0.703,0.21788,0.02756,0.10684,0.08092,0.01176,0.50088,0.52392,0.83612,0.355,4.29368,1.05528,0,0,0,0,0,0,0
42659328,Cam Smith,OF,6,HOU,COL,,4200,0,7.34,,7.34,1.7476190476190476,21.7,21.585166083607998,0,100,5.2992,9.2414,7.34253,2,6,11,14,21,28,9.69355,3,6.5,13.2,18.7,27.9,38.101,7.27401,2.6,5.2,10.4,14.2,20.6,27.704,7.6562,2,5.5,11,16,23.5,33,6.73925,9.09533,6.64208,8.02237,0.605933,0.197667,0.0096,0.0977333,0.1004,0.0112,0.513733,0.51,0.974933,0.4664,4.12007,0.9109333000000002,0,0,0,0,0,0,0
42659332,Yainer Diaz,C,8,HOU,COL,,4000,0,7.33,,7.33,1.8325,23.19,22.788785842582364,0,100,5.2992,9.2414,7.33067,2,5,11,15,21,29,9.62952,3,6.5,13.2,19,28.4,38.7,7.17228,2.6,5.2,10.4,14.2,20.6,28.4,7.9596,2,5.5,11.5,17,25,34.005,7.0189,9.50923,6.91828,8.49787,0.624267,0.206,0.0216667,0.122533,0.0576,0.0100667,0.508933,0.592267,0.7368,0.2694,3.90267,0.9744667,0,0,0,0,0,0,0
42659324,Hunter Goodman,C,3,COL,HOU,,4400,0,7.23,,7.23,1.6431818181818183,23.99,23.76135503938644,0,100,3.9422,9.2414,7.22927,2,5,11,15,22,30,9.49988,3,6.2,13.2,21.2,28.7,40.901,7.19867,2.6,5.2,10.4,15.1,21.3,30.3,7.5885,1.375,5,11.5,17,25.5,36.5,7.3311,9.89722,7.29169,8.87607,0.5486,0.188333,0.0193333,0.151133,0.0511333,0.00993333,0.4554,0.5168,1.21287,0.387867,4.41447,0.9073992999999999,0,0,0,0,0,0,0
42659321,Manny Machado,3B,4,SD,SEA,,4500,0,7.22,,7.22,1.6044444444444443,23.58,23.092076756100926,0,100,4.2266,8.761,7.21752,2,5,10,15,21,30,9.47864,3,6.2,12.7,18.9,28.4,41.2,7.14239,2.6,5.2,9.7,14.2,21.3,30.3,7.6463,1.5,5,11,16.5,25,36.5,7.04389,9.52275,6.96467,8.48561,0.62612,0.18916,0.0006,0.1242,0.07096,0.01144,0.46252,0.52724,0.90844,0.40612,4.19712,0.94008,0,0,0,0,0,0,0
